hash,message,.text,.data,.bss
1da20c5,added find method in FlashString,3154,538,14
af21bee,FlashString  interator now considers the indices not only the bytes,11196,784,18
2c80f5b,minor change: naming convention,11024,784,18
8fb7ce9,removed unsafe pointer,11024,784,18
f04633f,doc,10860,782,14
40049a5,added `Cursor` logic into a type,10860,782,14
5ccb686,doc,10732,782,14
5555580,type absorption and elimination,10732,782,14
b897098,function handler promotion,10734,782,14
481bd71,minor change: naming,10770,768,14
5a21758,elimitaed `mutable variable reference` dependency in `Field` widget,10770,768,14
389c722,naming convention,10836,768,14
39ea439,naming convention,10836,768,14
587730a,add Editable trait for Field type,10836,768,14
94097f8,Implemented Editable trait for NumberInputEditorWidget,10836,768,14
4841b3d,bugfix,10656,768,14
03b77f0,add Editable trait to OptionalEditableWidget,10244,720,14
1a97d95,aplied Widget trait into type,10556,768,14
4577c67,removed lifetime from Field type,10556,768,14
7ca591d,normalize and apply Widget trait,10604,768,14
f05d32e,doc,10604,768,14
3bd0eaa,naming convention,10604,768,14
d5915ae,improved safety of format type,10604,768,14
b00a78d,methods moved upstream,10340,768,14
597b81b,type alias proxying,10340,768,14
42402f4,breaking: removed reference and lifetime from a base type,12406,832,14
9a96536,naming,13446,764,14
23d3ad6,naming convention,13446,764,14
b8de803,parameter grouping,13446,764,14
1e435d2,naming convention,13404,764,14
44f2978,"naming convention, function absortion",13404,764,14
f31ac2c,naming convention,13448,926,14
86fe657,separation of concerns,13448,926,14
8f3d3ad,usize to u8,13520,926,14
eef602a,method extraction and promotion,13522,926,14
36120ea,naming convention,13578,926,14
19baa1f,doc,13578,926,14
74388e7,file rename,13578,926,14
b9945a5,function extraction,13578,914,14
5bcce70,separation of concerns,13584,914,14
c460ad4,message memory footprint reduction,13584,914,14
36476bd,doc,13630,914,14
afb3e42,refactor: new parameter construction propagation,13630,914,14
381b38f,naming convention,13620,914,14
1093b06,minor change,13620,914,14
9d9fe91,"refactor: simplification, struct extraction, doc",13620,914,14
3f58df9,doc & renaming,14446,914,14
6b2e615,doc,14446,914,14
60f796b,type renaming,14446,914,14
a98adf6,doc,14446,914,14
740ce30,chore: introduced 'cargo format' in makefile 'watch mode',14564,926,14
9af1bf7,code formatting,14564,926,14
085914b,refactor: Cursor type moved from avr to pc lib,14564,926,14
e866441,Merge branch 'refactor_cursor' into menu_recurssivo_4,14538,926,14
1eaca0a,make type construction const,14538,926,14
d03a694,doc,14538,926,14
8a92a67,refactor: improved construction for Cursor type,14538,926,14
c00b859,refactor: down casting of type from usize to u8,14552,926,14
1a7c83c,removed unnecessary const cast,14508,926,14
eede292,removed unnecessary method,14508,926,14
c200fd5,minor change: idiomatic casting,14508,926,14
7dbc590,chore: added 'paste' macro utilities as dependency,14508,926,14
9926313,chore: disabled compiler warnings temporarily,14508,926,14
ec14698,.gitignore: added local temp folder used in vscode plugin,14508,926,14
